Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,5795.25,41.14,1.06,9.65,10.71,3.37,19.16,n/a,22.54,16.93,4.30,21.23,1.73,2.65,,,5.93,42.59,0.46,2.33,0.19,0.40,12.72,0.71,1.17,0.17,1.10,0.12,204.81
Well 1,5804.39,45.20,0.86,8.29,9.16,2.70,18.76,n/a,21.45,14.05,6.33,20.39,1.65,2.15,,,5.96,41.44,0.44,2.32,0.19,0.43,11.50,0.61,1.19,0.17,1.03,0.10,207.17
Well 1,5813.54,49.78,0.00,8.77,8.77,2.28,13.33,n/a,15.61,17.25,5.27,22.53,1.63,1.68,,,6.46,49.71,0.56,2.41,0.22,0.41,12.27,0.76,1.27,0.17,0.98,0.04,203.48
Well 1,5822.68,47.55,0.48,9.34,9.82,2.90,17.54,n/a,20.44,13.28,5.38,18.66,1.57,1.97,,,6.38,47.38,0.54,2.25,0.19,0.37,10.48,0.70,1.26,0.15,0.85,0.04,202.75
Well 1,5831.82,47.96,3.33,3.51,6.84,1.96,14.65,n/a,16.60,19.29,6.37,25.66,1.20,1.73,,,4.35,53.04,0.33,1.74,0.16,0.37,12.65,0.65,0.92,0.08,0.60,0.03,155.71
Well 1,5840.97,51.71,4.83,2.51,7.35,2.05,16.17,n/a,18.21,17.98,1.13,19.11,1.14,2.48,,,2.81,46.01,0.24,1.04,0.12,<LOD,9.81,0.55,0.69,0.06,0.72,0.03,84.19
Well 1,5850.11,53.56,3.47,3.51,6.98,1.75,17.93,n/a,19.68,15.88,0.59,16.47,1.18,2.13,,,3.68,51.50,0.28,1.10,0.10,<LOD,8.00,0.56,0.88,0.08,0.58,0.04,83.75
Well 1,5859.26,47.28,4.39,2.11,6.50,2.18,17.11,n/a,19.29,20.57,2.48,23.05,1.51,2.36,,,2.40,41.39,0.21,0.97,0.10,0.04,10.00,0.45,0.62,0.05,0.53,0.03,49.99
Well 1,5868.40,52.79,2.78,1.91,4.69,0.97,15.18,n/a,16.15,20.49,3.18,23.68,1.26,1.44,,,3.21,50.37,0.72,1.28,0.12,0.14,11.95,0.57,0.71,0.07,0.63,0.05,72.25
Well 1,5877.54,49.94,4.32,2.43,6.75,1.93,19.62,n/a,21.55,17.01,1.10,18.11,1.25,2.41,,,3.81,52.18,0.29,1.17,0.10,<LOD,8.69,0.55,0.89,0.07,0.56,0.02,94.37
Well 1,5886.69,44.41,4.67,2.67,7.34,2.92,16.80,n/a,19.71,20.66,3.70,24.36,1.59,2.59,,,2.94,47.09,0.24,1.33,0.15,0.36,10.94,0.58,0.66,0.08,0.64,0.03,91.27
Well 1,5895.83,47.63,4.90,2.98,7.88,2.89,15.89,n/a,18.77,19.25,2.80,22.05,1.19,2.46,,,2.40,37.32,0.22,1.05,0.12,0.16,12.42,0.43,0.57,0.05,0.50,0.03,70.78
Well 1,5904.98,49.86,0.09,5.32,5.41,2.36,7.76,n/a,10.12,24.72,7.78,32.50,0.90,1.21,,,2.17,31.06,0.22,0.82,0.10,0.17,10.21,0.41,0.51,0.05,0.74,0.09,62.67
Well 1,5914.12,51.42,0.86,4.40,5.25,1.83,8.61,n/a,10.44,24.53,6.08,30.61,1.01,1.26,,,1.50,24.33,0.34,0.56,0.09,0.12,7.39,0.31,0.40,0.06,0.59,0.06,38.48
Well 1,5923.26,35.06,0.61,6.00,6.61,3.06,9.21,n/a,12.28,39.28,4.37,43.65,1.21,1.19,,,5.27,44.47,0.37,1.39,0.12,0.19,7.68,0.62,1.07,0.09,0.73,0.03,148.48
Well 1,5932.41,46.35,3.88,7.47,11.35,3.44,18.22,n/a,21.65,13.74,2.77,16.51,1.49,2.64,,,5.94,50.56,0.59,1.81,0.16,0.18,9.14,0.69,1.25,0.08,0.78,0.02,200.83
Well 1,5941.55,46.25,3.42,6.13,9.54,3.37,16.30,n/a,19.67,17.88,2.78,20.66,1.41,2.47,,,3.99,40.22,0.36,1.73,0.21,0.33,23.35,0.55,0.78,0.04,0.63,0.03,239.46
Well 1,5950.70,50.01,1.75,9.75,11.50,2.08,11.42,n/a,13.49,18.62,2.93,21.55,1.32,2.12,,,6.08,55.29,0.46,1.77,0.14,0.08,10.71,0.79,1.16,0.13,0.80,0.03,307.88
Well 1,5959.84,46.82,2.27,10.80,13.07,2.79,21.81,n/a,24.60,10.96,0.46,11.42,1.67,2.41,,,5.74,49.18,0.47,2.04,0.20,0.22,14.98,0.74,1.09,0.10,0.92,0.04,251.70
Well 1,5968.98,46.74,2.54,10.19,12.73,3.30,13.16,n/a,16.46,19.19,1.11,20.30,1.42,2.34,,,6.23,46.80,0.57,2.25,0.16,0.09,8.56,0.57,1.52,0.11,1.19,0.02,255.83
Well 1,5978.13,31.94,0.00,6.79,6.79,3.10,7.13,n/a,10.23,42.55,6.43,48.98,1.03,1.02,,,4.92,49.35,0.42,1.93,0.16,0.22,13.29,0.73,0.91,0.07,1.04,0.03,248.75
Well 1,5987.27,51.51,0.00,8.32,8.32,1.51,13.28,n/a,14.79,18.84,3.65,22.49,1.22,1.66,,,3.15,30.18,0.27,1.78,0.24,0.46,28.50,0.45,0.56,0.03,0.66,0.02,221.77
Well 1,5996.42,48.35,1.59,9.30,10.89,2.95,10.20,n/a,13.16,22.91,1.55,24.45,1.22,1.93,,,7.30,52.08,0.67,2.22,0.18,0.16,13.98,0.76,1.39,0.13,0.93,0.03,199.35
Well 1,6005.56,41.31,0.00,8.76,8.76,2.87,7.50,n/a,10.37,32.25,4.77,37.02,1.15,1.39,,,3.73,44.70,0.36,1.56,0.18,0.11,18.01,0.66,0.76,0.08,0.60,0.03,203.78
Well 1,6014.70,48.58,0.04,10.54,10.57,2.97,11.04,n/a,14.01,20.52,3.27,23.79,1.41,1.64,,,4.48,39.40,0.37,1.83,0.20,0.40,22.03,0.62,0.78,0.07,0.84,0.03,205.10
Well 1,6023.85,44.30,0.00,8.94,8.94,2.61,8.71,n/a,11.32,28.25,4.52,32.77,1.26,1.41,,,3.34,31.39,0.33,1.64,0.21,0.24,24.41,0.45,0.64,0.04,0.56,0.03,276.03
Well 1,6032.99,43.75,0.00,7.02,7.02,1.22,2.84,n/a,4.06,39.93,3.95,43.88,0.49,0.80,,,2.08,22.72,0.24,1.12,0.20,0.23,31.85,0.30,0.39,0.08,0.44,0.04,292.10
Well 1,6042.14,43.26,0.00,8.75,8.75,2.60,3.20,n/a,5.79,37.79,2.66,40.45,0.72,1.02,,,2.90,33.74,0.34,1.20,0.18,0.17,26.96,0.51,0.54,0.18,0.61,0.03,374.38
Well 1,6051.28,38.21,0.00,9.91,9.91,3.85,8.04,n/a,11.89,36.67,0.62,37.28,1.17,1.54,,,2.22,23.50,0.23,0.90,0.17,0.22,24.37,0.37,0.40,0.17,0.48,0.06,234.59
Well 1,6060.42,41.00,2.24,12.64,14.88,4.46,8.46,n/a,12.92,26.83,1.42,28.24,1.00,1.96,,,4.66,38.66,0.37,1.72,0.16,0.35,18.80,0.64,0.86,0.27,0.89,0.04,259.22
Well 1,6069.57,41.20,0.95,11.70,12.65,4.22,11.77,n/a,16.00,23.14,3.27,26.40,1.46,2.28,,,3.67,36.67,0.38,1.34,0.20,0.24,23.04,0.55,0.69,0.33,0.71,0.05,364.79
Well 1,6078.71,44.32,0.19,11.70,11.89,3.56,7.32,n/a,10.87,27.32,2.47,29.79,1.45,1.68,,,3.57,34.37,0.36,1.46,0.16,0.33,22.47,0.58,0.64,0.15,0.91,0.05,387.21
Well 1,6087.86,38.53,0.00,7.59,7.59,1.89,2.03,n/a,3.92,45.68,3.21,48.88,0.43,0.65,,,0.94,15.70,0.14,0.44,0.11,0.19,14.88,0.20,0.33,0.07,0.70,0.18,50.13
Well 1,6097.00,31.38,0.00,7.78,7.78,2.97,4.77,n/a,7.74,49.71,1.74,51.44,0.82,0.84,,,1.51,19.91,0.17,0.70,0.16,0.20,20.39,0.29,0.34,0.05,0.50,0.11,95.40
Well 1,6115.29,32.88,0.00,8.49,8.49,2.81,3.09,n/a,5.91,49.19,2.10,51.28,0.67,0.77,,,2.46,24.13,0.27,0.96,0.16,0.25,21.49,0.37,0.45,0.09,0.56,0.06,209.82
Well 1,6124.43,38.55,0.62,8.81,9.43,3.26,4.24,n/a,7.50,39.82,2.39,42.22,1.21,1.10,,,0.93,13.74,0.17,0.38,0.10,0.16,11.34,0.16,0.28,0.06,0.65,0.14,116.04
Well 1,6133.58,42.60,2.65,11.16,13.81,1.50,0.70,n/a,2.21,36.59,1.85,38.44,1.69,1.25,,,2.86,30.88,0.29,1.31,0.19,0.20,27.15,0.47,0.51,0.06,0.57,0.05,265.56
Well 1,6142.72,41.13,2.18,12.51,14.69,1.58,0.00,n/a,1.58,38.36,1.75,40.11,1.72,0.78,,,2.56,27.21,0.28,1.34,0.21,0.26,31.12,0.44,0.41,0.02,0.55,0.04,266.59
Well 1,6164.06,40.73,1.39,7.33,8.72,0.88,3.27,n/a,4.15,42.47,2.77,45.25,1.15,0.00,,,1.59,21.40,0.29,0.81,0.17,0.27,34.51,0.36,0.27,<LOD,0.57,0.07,256.12
Well 1,6182.34,37.51,1.18,7.69,8.87,1.13,6.30,n/a,7.43,42.92,2.03,44.95,1.24,0.00,,,1.44,18.71,0.21,0.77,0.21,0.24,34.42,0.26,0.25,<LOD,0.40,0.07,219.55
Well 1,6200.63,33.87,1.79,8.32,10.11,1.24,3.19,n/a,4.43,47.83,2.24,50.07,1.52,0.00,,,1.74,20.90,0.20,0.87,0.20,0.32,35.03,0.32,0.29,<LOD,0.47,0.03,211.00
Well 1,6218.92,42.09,1.93,8.17,10.10,0.88,6.07,n/a,6.96,35.12,4.65,39.78,1.08,0.00,,,4.22,34.83,0.35,1.65,0.21,0.50,25.45,0.55,0.67,0.10,0.66,0.05,251.26
Well 1,6237.21,41.90,2.22,12.54,14.75,1.42,7.30,n/a,8.72,27.21,4.46,31.66,1.53,1.44,,,6.73,43.44,0.61,2.49,0.26,0.68,19.68,0.72,1.16,0.23,0.98,0.03,310.38
Well 1,6255.50,45.04,1.97,13.74,15.71,1.69,9.02,n/a,10.70,19.07,5.33,24.41,1.54,2.59,,,6.67,42.99,0.59,2.56,0.29,0.64,18.41,0.74,1.17,0.23,0.97,0.02,337.37
Well 1,6273.78,41.21,2.16,12.25,14.41,1.21,10.80,n/a,12.01,23.72,5.89,29.61,1.40,1.36,,,7.15,45.51,0.63,2.65,0.30,0.69,19.92,0.74,1.23,0.53,1.05,0.02,356.98
Well 1,6296.64,46.72,3.35,13.60,16.95,1.68,5.41,n/a,7.09,20.03,5.52,25.55,0.98,2.72,,,5.00,37.48,0.47,2.16,0.25,0.44,19.70,0.60,0.92,0.16,0.77,0.02,360.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 2,2945.37,18.10,0.89,2.97,3.87,6.20,31.88,n/a,38.09,33.10,3.82,36.91,2.91,0.13,,,11.42,32.77,0.39,4.43,0.03,0.65,18.39,0.70,1.70,0.11,0.75,0.18,117.17
Well 2,2954.51,28.73,0.00,8.37,8.37,4.99,13.02,n/a,18.01,34.83,6.00,40.84,2.57,1.49,,,2.99,34.64,0.28,2.08,0.02,0.24,22.98,0.76,0.57,0.15,0.80,0.21,283.43
Well 2,2963.66,37.25,0.00,10.24,10.24,4.20,11.73,n/a,15.93,28.65,3.41,32.06,1.93,2.59,,,2.34,40.83,0.29,1.16,0.02,0.08,23.38,0.75,0.48,0.18,0.67,0.21,387.18
Well 2,2972.80,20.72,0.00,5.55,5.55,4.70,19.04,n/a,23.75,41.19,6.29,47.48,2.51,0.00,,,6.74,27.50,0.31,3.44,0.03,0.65,26.09,0.47,0.93,0.07,0.83,0.17,129.25
Well 2,2981.94,32.41,4.32,1.54,5.87,6.01,32.68,n/a,38.69,9.35,3.94,13.29,6.04,3.71,,,6.71,45.11,0.36,3.02,0.02,0.20,10.87,0.89,0.98,0.20,0.92,0.18,384.05
Well 2,2991.09,40.69,0.22,7.96,8.18,6.95,24.17,n/a,31.12,8.07,4.24,12.31,3.82,3.87,,,6.53,52.33,0.46,2.41,0.02,0.14,10.06,0.91,1.21,0.18,1.05,0.19,472.94
Well 2,3000.23,43.42,0.24,9.17,9.41,5.86,21.25,n/a,27.11,9.38,4.60,13.98,2.28,3.81,,,5.86,53.42,0.46,2.42,0.02,0.10,9.72,1.08,1.18,0.21,1.02,0.20,472.38
Well 2,3009.38,43.97,0.43,9.80,10.23,5.22,19.18,n/a,24.40,9.49,5.48,14.96,2.91,3.52,,,6.09,53.60,0.48,2.41,0.02,0.15,10.60,1.00,1.21,0.21,1.12,0.20,467.80
Well 2,3018.52,37.83,0.48,10.59,11.07,4.31,19.13,n/a,23.45,17.91,5.93,23.84,1.38,2.44,,,6.76,47.00,0.45,2.73,0.02,0.25,16.48,0.85,1.31,0.21,1.09,0.17,382.27
Well 2,3027.66,36.89,0.79,9.28,10.07,4.07,20.29,n/a,24.36,18.29,6.68,24.97,1.30,2.41,,,6.56,46.86,0.45,2.80,0.02,0.24,15.23,0.85,1.28,0.24,1.11,0.18,434.03
Well 2,3036.81,36.59,1.20,9.70,10.89,4.19,18.83,n/a,23.01,18.67,6.96,25.64,1.43,2.44,,,6.32,46.01,0.42,2.69,0.02,0.23,15.95,0.84,1.26,0.24,1.09,0.19,404.29
Well 2,3045.95,33.58,0.00,9.29,9.29,3.28,10.71,n/a,13.98,36.82,1.55,38.38,2.18,2.59,,,3.55,35.33,0.31,1.78,0.02,0.14,28.15,0.62,0.73,0.07,0.90,0.20,277.73
Well 2,3055.10,35.76,0.41,7.53,7.94,2.95,10.46,n/a,13.41,34.67,3.86,38.53,1.97,2.39,,,3.04,39.67,0.30,1.63,0.02,0.09,27.05,0.64,0.72,0.04,0.72,0.19,231.55
Well 2,3064.24,42.83,2.01,1.81,3.82,2.09,12.26,n/a,14.35,33.88,2.42,36.30,2.16,0.54,,,1.35,34.96,0.19,1.19,0.01,0.01,16.80,<LOD,0.61,0.30,0.64,0.16,81.84
Well 2,3073.38,47.50,2.29,3.88,6.17,2.40,15.35,n/a,17.75,24.56,2.12,26.69,1.03,0.87,,,3.57,62.53,0.30,1.40,0.01,<LOD,13.54,<LOD,0.91,<LOD,0.83,0.20,196.44
Well 2,3082.53,48.66,3.33,3.25,6.58,2.41,14.10,n/a,16.51,24.80,1.37,26.17,0.98,1.09,,,3.27,57.94,0.29,1.42,0.01,<LOD,12.78,0.32,0.89,0.07,0.82,0.19,182.58
Well 2,3091.67,37.44,2.63,4.04,6.68,1.53,9.60,n/a,11.13,38.39,3.78,42.17,2.18,0.41,,,2.75,43.72,0.25,1.50,0.02,0.12,28.49,0.80,0.65,0.10,0.78,0.21,143.78
Well 2,3100.82,33.24,2.32,4.60,6.93,1.96,9.42,n/a,11.38,41.74,4.96,46.70,1.75,0.00,,,2.30,35.98,0.26,1.44,0.02,0.17,32.04,0.73,0.56,0.10,0.83,0.19,128.80
Well 2,3109.96,40.51,3.04,6.17,9.21,2.63,17.06,n/a,19.69,22.54,5.03,27.57,2.54,0.49,,,5.65,49.95,0.38,2.30,0.01,0.19,15.95,0.64,1.29,0.05,1.27,0.19,302.10
Well 2,3119.10,34.25,2.60,4.34,6.94,1.79,16.32,n/a,18.11,33.52,4.82,38.34,2.36,0.00,,,4.91,42.87,0.29,1.85,0.01,0.25,22.93,0.49,1.16,0.01,1.08,0.18,194.32
Well 2,3128.25,37.21,3.14,5.68,8.82,1.84,14.08,n/a,15.93,30.90,5.02,35.92,2.11,0.00,,,4.86,46.76,0.33,2.11,0.02,0.23,22.00,0.72,1.10,0.11,1.17,0.18,246.53
Well 2,3137.39,38.61,2.99,5.77,8.75,1.87,13.37,n/a,15.25,29.41,5.05,34.46,2.21,0.72,,,4.83,45.31,0.31,2.23,0.02,0.22,21.38,0.58,1.11,0.08,1.04,0.17,244.63
Well 2,3146.54,37.54,3.16,5.54,8.71,2.18,14.68,n/a,16.85,29.55,4.87,34.43,2.21,0.27,,,4.84,46.79,0.32,2.19,0.02,0.23,21.48,0.68,1.09,0.09,1.14,0.17,244.52
Well 2,3155.68,37.51,3.68,5.98,9.67,1.94,14.30,n/a,16.25,29.99,4.58,34.58,1.84,0.16,,,4.67,44.71,0.32,2.14,0.02,0.23,22.20,0.64,1.07,0.10,1.11,0.18,247.32
Well 2,3164.82,45.33,3.06,6.98,10.04,1.12,6.08,n/a,7.20,28.93,5.08,34.01,1.85,1.57,,,3.79,41.97,0.31,1.55,0.17,0.30,19.04,0.57,0.81,0.07,0.78,0.05,314.22
Well 2,3173.97,44.22,2.64,7.38,10.02,0.79,5.40,n/a,6.18,31.57,5.56,37.13,1.75,0.69,,,3.11,34.63,0.29,1.54,0.18,0.30,22.36,0.52,0.69,0.05,0.74,0.05,223.54
Well 2,3183.11,45.66,2.97,6.85,9.82,0.95,6.52,n/a,7.47,28.91,4.92,33.83,1.94,1.29,,,3.24,37.75,0.32,1.54,0.17,0.26,18.64,0.54,0.77,0.06,0.78,0.07,290.63
Well 2,3192.26,42.55,3.61,7.24,10.85,1.22,1.02,n/a,2.24,32.80,8.14,40.94,2.19,1.23,,,3.25,40.74,0.33,1.69,0.20,0.65,20.63,0.63,0.72,0.07,0.81,0.09,288.71
Well 2,3201.40,40.10,2.76,7.90,10.66,0.97,2.26,n/a,3.23,37.39,5.47,42.85,2.32,0.84,,,3.08,41.32,0.29,1.46,0.19,0.42,24.98,0.58,0.69,0.06,0.80,0.08,285.47
Well 2,3210.54,39.70,2.91,8.22,11.14,1.28,2.56,n/a,3.84,37.01,5.48,42.49,2.14,0.69,,,2.99,39.57,0.29,1.44,0.18,0.43,24.50,0.58,0.68,0.06,0.76,0.08,285.61
Well 2,3219.69,43.10,2.24,7.03,9.27,1.16,2.46,n/a,3.62,35.40,5.83,41.23,1.78,1.00,,,2.71,35.68,0.28,1.40,0.20,0.40,25.63,0.53,0.63,0.05,0.63,0.07,271.31
Well 2,3228.83,41.42,2.53,7.03,9.56,1.38,7.01,n/a,8.40,31.37,6.59,37.96,1.91,0.75,,,4.22,41.64,0.32,1.84,0.19,0.49,22.75,0.63,0.89,0.07,0.87,0.07,263.64
Well 2,3237.98,42.39,2.71,7.80,10.51,1.15,6.89,n/a,8.04,29.86,6.34,36.20,1.63,1.24,,,4.11,39.94,0.33,1.84,0.19,0.49,22.31,0.63,0.84,0.07,0.83,0.06,261.43
Well 2,3247.12,40.13,3.03,7.51,10.55,1.51,6.22,n/a,7.72,31.89,6.19,38.07,2.14,1.39,,,4.24,40.22,0.34,1.84,0.19,0.48,22.25,0.59,0.88,0.07,0.86,0.06,251.40
Well 2,3256.26,42.81,2.85,7.77,10.62,1.33,6.01,n/a,7.34,29.97,6.21,36.18,1.88,1.18,,,4.65,42.27,0.32,1.90,0.17,0.53,20.02,0.69,0.90,0.08,1.04,0.04,176.94
Well 2,3265.41,41.41,2.72,8.24,10.96,1.35,5.22,n/a,6.57,31.85,6.18,38.03,1.94,1.09,,,4.54,40.21,0.33,1.97,0.17,0.54,19.25,0.67,0.90,0.07,1.00,0.05,263.05
Well 2,3274.55,40.36,3.05,8.09,11.14,1.54,11.07,n/a,12.61,27.51,5.78,33.29,1.53,1.08,,,5.18,41.48,0.34,2.13,0.18,0.41,18.24,0.59,1.11,0.09,1.05,0.10,177.83
Well 2,3283.70,39.85,2.21,7.07,9.27,1.28,4.03,n/a,5.31,36.29,6.35,42.64,2.05,0.87,,,3.18,35.05,0.28,1.72,0.21,0.50,24.56,0.53,0.69,0.05,0.78,0.06,185.49
Well 2,3292.84,39.31,2.49,6.19,8.68,1.57,3.97,n/a,5.54,36.77,6.64,43.42,1.97,1.07,,,3.68,36.87,0.29,1.73,0.21,0.57,24.87,0.54,0.70,0.05,0.83,0.07,203.93
Well 2,3301.98,32.49,1.64,5.32,6.96,1.34,5.14,n/a,6.48,46.49,5.91,52.40,1.67,0.00,,,2.31,24.50,0.22,1.44,0.23,0.48,32.13,0.31,0.48,0.01,0.59,0.07,147.60
Well 2,3311.13,29.14,1.50,4.79,6.30,1.16,3.73,n/a,4.90,52.53,5.18,57.71,1.95,0.00,,,2.50,24.67,0.21,1.38,0.21,0.49,34.32,0.28,0.47,<LOD,0.64,0.08,129.61
Well 2,3320.27,29.30,2.00,4.97,6.96,1.07,4.01,n/a,5.08,51.51,5.14,56.65,1.74,0.26,,,2.18,21.59,0.20,1.34,0.22,0.45,34.62,0.25,0.43,<LOD,0.52,0.08,125.78
Well 2,3329.42,29.05,1.28,4.72,6.00,1.02,3.81,n/a,4.84,53.33,5.40,58.73,1.37,0.00,,,2.49,24.91,0.19,1.39,0.20,0.55,34.09,0.28,0.46,<LOD,0.68,0.08,123.56
Well 2,3338.56,29.08,2.01,4.43,6.44,0.97,4.02,n/a,4.99,52.36,5.44,57.80,1.69,0.00,,,2.31,25.00,0.20,1.39,0.22,0.51,34.97,0.31,0.47,<LOD,0.62,0.11,127.84
Well 2,3347.70,37.31,2.40,6.32,8.72,1.35,6.02,n/a,7.38,38.49,5.59,44.08,1.96,0.55,,,3.19,31.84,0.26,1.69,0.20,0.44,26.39,0.43,0.65,0.03,0.73,0.09,183.28
Well 2,3356.85,38.95,2.27,6.10,8.37,1.43,7.62,n/a,9.05,35.52,5.42,40.94,1.87,0.82,,,3.77,36.52,0.27,1.86,0.18,0.48,22.20,0.53,0.76,0.05,0.87,0.06,217.64
Well 2,3365.99,37.39,2.10,7.59,9.70,1.62,15.42,n/a,17.05,28.49,5.21,33.69,1.63,0.55,,,6.55,40.34,0.37,2.26,0.17,0.54,17.45,0.57,1.24,0.09,1.04,0.08,170.16
Well 2,3375.14,35.74,2.23,7.36,9.59,1.97,14.60,n/a,16.57,30.50,5.62,36.13,1.69,0.28,,,6.23,38.85,0.37,2.24,0.19,0.53,17.62,0.57,1.22,0.09,1.00,0.07,162.79
Well 2,3393.42,35.17,1.76,5.74,7.51,2.09,16.49,n/a,18.59,31.29,5.68,36.96,1.60,0.17,,,6.25,37.38,0.34,2.45,0.19,0.61,17.96,0.53,1.18,0.08,1.13,0.05,151.58
Well 2,3411.71,33.78,2.37,5.72,8.09,1.69,7.25,n/a,8.93,39.24,6.92,46.16,2.24,0.80,,,3.82,31.86,0.29,2.06,0.20,0.57,23.22,0.45,0.79,0.06,0.92,0.08,179.89
Well 2,3430.00,36.15,2.08,4.60,6.67,1.49,9.49,n/a,10.97,36.48,6.84,43.32,1.97,0.91,,,3.97,34.00,0.29,2.09,0.19,0.56,21.70,0.48,0.85,0.06,1.04,0.07,198.32
Well 2,3448.29,34.15,1.88,4.81,6.69,1.54,6.85,n/a,8.40,39.39,8.82,48.21,1.97,0.57,,,2.78,29.49,0.25,1.77,0.22,0.70,25.23,0.39,0.62,0.04,0.75,0.10,180.48
Well 2,3469.62,38.90,2.67,8.91,11.58,1.59,9.86,n/a,11.45,30.13,5.92,36.05,1.51,0.50,,,5.60,41.98,0.38,2.23,0.20,0.47,19.07,0.59,1.16,0.09,1.00,0.07,210.41
Well 2,3487.91,40.71,2.38,8.51,10.89,1.70,10.22,n/a,11.92,28.06,5.57,33.63,1.78,1.07,,,5.13,39.51,0.34,2.11,0.19,0.50,17.00,0.60,1.06,0.08,1.03,0.06,203.04
Well 2,3506.20,43.02,3.44,9.71,13.15,1.65,10.91,n/a,12.56,22.43,5.40,27.83,1.54,1.90,,,5.42,42.39,0.41,2.09,0.21,0.43,14.91,0.67,1.19,0.08,0.98,0.16,258.78
Well 2,3524.49,43.19,3.64,10.97,14.61,1.47,8.32,n/a,9.78,24.39,4.77,29.16,1.63,1.63,,,4.73,38.45,0.39,1.85,0.19,0.40,14.93,0.64,0.96,0.09,0.88,0.08,277.36
Well 2,3542.78,45.55,4.48,9.94,14.42,1.49,9.98,n/a,11.47,19.59,5.16,24.76,1.69,2.12,,,5.73,44.69,0.40,2.33,0.23,0.43,13.95,0.73,1.10,0.08,0.98,0.06,283.70
Well 2,3561.06,45.21,3.83,11.01,14.84,1.89,8.74,n/a,10.63,19.82,5.15,24.97,1.59,2.77,,,5.64,44.76,0.56,2.40,0.26,0.37,14.43,0.73,1.12,0.08,0.93,0.03,286.94
Well 2,3579.35,46.47,2.98,10.34,13.33,1.34,9.96,n/a,11.30,19.64,5.36,25.00,1.69,2.22,,,5.25,42.63,0.58,2.37,0.26,0.32,14.33,0.70,1.11,0.08,0.89,0.04,283.70
Well 2,3597.64,46.16,3.39,11.39,14.78,1.73,8.39,n/a,10.11,20.76,4.15,24.91,1.49,2.55,,,5.61,47.73,0.57,1.81,0.20,0.24,12.30,0.78,1.12,0.16,0.72,0.04,292.25
Well 2,3615.93,46.11,3.76,9.76,13.52,1.53,11.76,n/a,13.30,16.87,5.00,21.87,1.98,3.23,,,6.20,46.97,0.57,2.50,0.23,0.29,12.29,0.75,1.20,0.16,1.02,0.04,267.03
Well 2,3634.22,44.94,3.06,11.22,14.27,1.64,10.29,n/a,11.94,19.79,5.39,25.18,1.54,2.12,,,5.45,42.40,0.57,2.37,0.22,0.32,14.02,0.76,1.06,0.17,1.03,0.06,396.35
Well 2,3652.50,41.67,2.71,10.31,13.02,1.82,8.42,n/a,10.24,25.53,5.95,31.48,1.66,1.92,,,4.98,40.79,0.40,2.12,0.20,0.47,15.30,0.69,0.98,0.13,1.04,0.14,240.49
Well 2,3670.79,43.28,2.95,10.54,13.49,1.73,8.66,n/a,10.39,24.00,5.55,29.55,1.52,1.77,,,5.10,41.13,0.56,2.19,0.23,0.41,17.20,0.65,1.07,0.13,0.85,0.05,238.72
Well 2,3689.08,47.50,2.79,5.47,8.26,1.75,12.41,n/a,14.16,22.76,3.58,26.34,1.71,2.03,,,4.28,56.44,0.34,1.54,0.16,0.03,11.95,0.74,0.85,0.08,0.61,0.05,153.64
Well 2,3698.22,47.07,2.14,5.11,7.24,2.01,11.56,n/a,13.56,24.38,3.63,28.01,1.72,2.39,,,4.39,57.53,0.34,1.52,0.15,<LOD,11.96,0.74,0.86,0.08,0.63,0.04,154.68
Well 2,3707.37,48.11,3.25,6.86,10.11,1.36,12.37,n/a,13.73,19.80,3.83,23.63,1.89,2.54,,,5.17,55.03,0.41,1.80,0.18,0.12,12.57,0.75,1.07,0.08,0.63,0.05,213.21
Well 2,3716.51,44.72,4.07,5.91,9.98,1.18,8.89,n/a,10.07,28.56,3.82,32.37,1.71,1.15,,,3.38,42.54,0.33,1.65,0.18,0.14,19.78,0.61,0.72,0.05,0.67,0.04,299.77
Well 2,3725.66,44.39,2.35,5.45,7.80,1.75,4.73,n/a,6.48,34.84,3.27,38.11,1.88,1.33,,,2.54,38.91,0.28,1.42,0.18,0.09,21.62,0.49,0.58,0.03,0.59,0.04,236.22
Well 2,3734.80,44.12,2.69,5.37,8.07,1.24,5.84,n/a,7.08,33.34,3.97,37.31,1.94,1.48,,,2.88,42.53,0.29,1.45,0.19,0.12,21.60,0.57,0.63,0.04,0.61,0.06,246.39
Well 2,3743.94,44.61,3.09,6.52,9.61,1.66,3.21,n/a,4.86,33.43,3.96,37.39,1.83,1.70,,,2.97,43.55,0.32,1.38,0.18,0.17,20.95,0.62,0.65,0.05,0.59,0.06,249.49
