Well Name,Depth (m),Quartz,K-Feldspar,Plagioclase,Total Feldspar,Chlorite,IlliteSmectiteMica,Kaolinite,Total Clay,Calcite,Ankerite/Dolomite,Total Carbonate,Pyrite,Organics ,,,Al2O3,SiO2,TiO2,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3,Cl ,Zr
,,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,Wt %,,,%,%,%,%,%,%,%,%,%,%,%,%,ppm
Well 1,3512.30,30.45,2.44,9.24,11.68,3.37,20.00,n/a,23.37,27.35,1.87,29.22,2.14,3.14,,,8.86,41.30,0.38,2.69,0.20,0.42,16.48,0.60,1.51,0.28,1.52,0.06,268.81
Well 1,3521.44,34.81,1.90,8.85,10.75,3.25,17.12,n/a,20.37,26.32,3.09,29.41,1.89,2.78,,,7.27,40.33,0.35,2.36,0.20,0.37,17.98,0.60,1.27,0.17,1.42,0.07,282.10
Well 1,3530.58,39.61,1.32,8.48,9.81,3.03,15.18,n/a,18.21,24.27,3.79,28.07,1.84,2.47,,,7.79,43.87,0.39,2.59,0.22,0.40,17.77,0.64,1.37,0.13,1.47,0.05,278.49
Well 1,3539.73,38.45,1.71,8.20,9.91,2.66,15.44,n/a,18.10,25.16,4.03,29.19,1.83,2.52,,,10.48,43.48,0.54,3.69,0.31,3.22,10.21,1.04,2.39,0.20,1.73,0.04,314.46
Well 1,3548.87,42.82,0.00,8.62,8.62,2.79,14.52,n/a,17.31,23.35,3.61,26.96,1.74,2.54,,,7.41,43.83,0.43,2.51,0.24,0.44,18.33,0.67,1.34,0.10,1.42,0.04,266.46
Well 1,3558.02,39.27,1.41,8.86,10.27,2.82,16.45,n/a,19.27,23.02,3.60,26.62,1.83,2.74,,,7.36,42.71,0.38,2.53,0.22,0.35,17.75,0.63,1.36,0.10,1.29,0.04,281.32
Well 1,3567.16,38.72,0.76,5.16,5.91,2.58,13.28,n/a,15.86,32.47,3.82,36.29,1.47,1.75,,,5.38,40.57,0.34,1.80,0.18,0.27,22.83,0.46,1.04,0.06,1.16,0.06,184.35
Well 1,3585.45,38.26,0.35,4.95,5.30,2.42,13.20,n/a,15.62,32.91,4.59,37.50,1.60,1.72,,,5.01,38.32,0.33,1.70,0.19,0.31,23.75,0.50,0.94,0.05,1.05,0.06,160.70
Well 1,3603.74,32.20,0.11,4.14,4.25,1.58,8.10,n/a,9.68,46.44,5.22,51.66,1.25,0.95,,,3.60,28.75,0.24,1.48,0.21,0.36,33.68,0.31,0.63,0.00,0.76,0.08,129.03
Well 1,3622.02,35.62,0.33,4.64,4.97,2.34,11.87,n/a,14.21,37.69,4.88,42.58,1.36,1.26,,,4.98,35.16,0.29,1.69,0.19,0.39,26.58,0.42,0.87,0.05,1.00,0.10,183.77
Well 1,3640.31,37.20,0.00,5.79,5.79,2.33,11.66,n/a,13.99,34.85,5.42,40.27,1.35,1.40,,,5.20,38.09,0.33,1.80,0.23,0.37,24.75,0.52,0.96,0.07,1.04,0.06,227.07
Well 1,3658.60,36.19,0.11,6.26,6.38,2.99,13.75,n/a,16.74,33.77,3.84,37.60,1.41,1.68,,,6.42,39.35,0.34,1.92,0.20,0.42,24.21,0.51,1.02,0.10,0.99,0.06,215.05
Well 1,3667.74,35.72,0.47,5.74,6.21,2.50,12.72,n/a,15.22,35.24,4.84,40.08,1.43,1.34,,,5.45,38.78,0.32,1.80,0.20,0.43,24.82,0.50,0.97,0.09,1.17,0.06,232.15
Well 1,3676.89,35.14,0.00,5.96,5.96,2.96,12.50,n/a,15.46,36.99,3.07,40.06,1.64,1.74,,,4.97,37.69,0.31,1.73,0.20,0.32,25.96,0.47,0.86,0.06,1.00,0.07,191.39
Well 1,3686.03,36.12,0.00,6.07,6.07,2.03,8.69,n/a,10.72,40.06,4.48,44.54,1.31,1.24,,,4.75,36.52,0.31,1.82,0.22,0.41,27.02,0.50,0.85,0.06,1.00,0.07,180.05
Well 1,3713.46,37.51,0.00,5.76,5.76,2.10,10.40,n/a,12.50,36.14,5.52,41.67,1.29,1.27,,,5.08,36.74,0.32,1.88,0.24,0.47,26.43,0.50,0.86,0.06,1.01,0.05,180.54
